User Name,Pach Vai Restaurant,Pansi Restaurant,Wondal Restaurant,Royal Dine Restaurant,Voujon Bari,Sip Coffee Restaurant,Kababia Restaurant Restaurant,Platinum Lounge,Big Bite Restaurant,Pizza Hut,Alpine Restaurant,KFC,Food House,Asmi Food,Food Lounge,Royal Kitchen,MadChef,Cafe Aarko,Spicy Restaurant & Party Center,Nawabs Kitchen,The Mad Grill Restaurant,ADDA Restaurant & Cafe,Kebab Garden,MEATUP,Palki Restaurant,Rainbow Chinese Restaurant,Saffron Restaurant,Stacks O'Snacks,Curry Royal,Hattrick Cafe & Restaurant,Spicy Restaurant & Party Center,Snack's Lane,Hideout Cafe,Mughal Restaurant - Sylhet,New Handi Restaurant,Spice village,food drive,Karagar Restaurant and cafe,Cafe Europeo,Buffet House and Restaurant,Mezban Bari Restaurant,Rain Terrace,Ishtikutum Chinese Restaurant,The Magician Restaurant,Dhaba Restaurant,Big Bite Restaurant,Pizza Express,Fuchka Garden,Ambrosia Food Factory,Yummy Hut,Pritiraj Restaurant,Cafe Shunno,Kebabish Original,Well Foods,Fat Belly,Sizzler,Sip & Bite,BBQ Nation - বিবিকিউ নেশন,Randhon Kabbo Restaurant,Mughal Masala,Go Nuts,Calorie Hype,Tandoori House,The Coffee Club,Hum Tum Restaurant,Treat Gallery,Mouroshi Restaurant,Hungry Station,Chick Chicken,Fatema Restaurant,Chaat Buzz,Bar-B-Q Factory,President Restaurant,The Titanic,Panthumai Restauran,What the ফুচকা,Panshi Inn,Dingi Resturant ডিঙি রেস্টুরেন্ট,Demon's Cave,Bay Leaf Chinese Restaurant,La Rose Hotel,রন্ধন কাব্য রেষ্টুরেন্ট,Inayah's Cafe & Restaurant,Club Coffee Sylhet,Cafe La Vista€,Himur Bhujon Bilash,Delhi Darbar,Delhi Restaurant,,
Asif,4,3,5,2,5,4,3,2,5,4,5,3,5,4,3,4,4,4,5,4,5,4,3,5,5,4,2,5,3,5,5,4,3,5,4,3,4,5,3,4,5,5,3,5,4,3,4,5,3,5,3,4,3,4,5,3,4,3,5,3,2,5,2,5,3,3,5,3,4,4,3,5,3,4,4,2,5,4,4,3,5,3,4,3,5,3,5,4,,
Balam,0,2,3,4,3,5,3,4,5,3,5,2,5,3,4,5,3,4,3,5,3,5,4,3,5,3,5,4,3,4,5,3,5,3,5,5,3,5,3,4,3,4,4,3,4,4,5,4,5,2,3,4,5,4,5,3,5,3,4,5,3,5,4,3,4,4,5,4,3,5,4,5,5,4,4,5,3,5,5,3,5,3,5,3,4,4,3,5,,
Shishir,2,4,3,5,3,5,4,5,3,4,4,3,5,3,5,4,3,5,3,5,2,5,4,3,5,4,3,5,4,3,5,4,3,5,3,5,4,5,5,4,4,5,4,3,4,5,3,5,4,3,4,3,5,4,3,5,2,5,4,4,2,5,3,5,3,4,3,5,4,4,5,3,5,4,4,5,3,5,3,4,5,4,3,5,4,3,4,3,,
Swadhin Ghosh,2,2,3,4,3,3,3,3,2,2,2,4,3,4,3,4,3,2,3,3,3,4,2,3,3,2,3,2,3,3,2,3,4,3,2,3,3,4,3,3,3,3,3,3,3,2,2,2,3,2,3,2,2,2,3,3,2,3,3,2,2,2,3,2,2,2,3,3,3,3,3,3,4,4,3,3,3,2,2,2,2,3,2,3,3,2,3,3,,
h1,0,2,2,0,0,0,0,0,0,4,0,5,0,4,3,0,4,0,0,0,0,5,0,4,0,0,0,0,5,1,3,0,0,0,0,5,0,0,0,5,0,0,3,0,0,0,5,0,4,5,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,1,3,0,0,2,0,1,0,0,0,0,0,2,,
pppp,4,0,4,5,4,0,0,0,0,4,0,5,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,4,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,4,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,
propi,0,0,0,0,2,4,3,4,2,0,2,5,2,0,2,3,5,0,0,4,1,2,0,2,3,2,2,0,3,1,2,2,1,2,2,2,3,2,2,3,1,2,3,0,0,3,3,3,2,3,3,2,2,0,3,0,0,0,3,2,3,3,0,3,4,0,2,1,2,0,0,2,1,2,2,2,2,0,2,0,2,1,2,2,2,1,3,2,,
pppoooo,3,3,4,3,2,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
mouri,3,2,3,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
ppoookk,3,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,3,0,4,0,4,0,4,4,0,4,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,3,2,0,0,0,0,0,0,3,0,2,0,0,0,,
Noyon,4,4,4,2,5,4,2,3,4,4,3,4,4,4,4,3,2,4,0,4,0,3,4,0,4,4,2,4,2,2,4,4,3,3,3,0,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,3,4,2,4,0,4,4,3,4,1,4,4,0,4,4,3,4,4,4,4,4,4,4,4,4,2,4,2,0,4,4,0,4,4,4,4,,
boodddd,3,0,4,0,0,3,0,3,0,5,1,5,0,4,0,4,5,4,4,0,4,3,0,4,4,5,0,0,4,2,4,3,4,4,3,2,2,2,3,4,5,3,2,5,0,3,2,2,0,2,0,2,3,2,2,2,1,1,1,2,2,1,1,3,3,2,2,0,3,0,3,3,0,3,2,3,0,3,2,0,3,0,3,0,5,2,4,1,,
Noyon,4,4,4,4,4,0,4,4,3,4,0,4,4,4,4,4,0,5,0,4,4,4,4,4,5,0,4,3,0,4,2,4,4,0,4,0,4,4,2,4,4,4,4,4,4,3,3,4,4,3,4,4,4,3,0,0,4,0,4,0,4,4,4,0,4,4,3,4,2,4,2,4,3,4,2,4,4,0,4,0,4,4,4,3,3,2,3,4,,
uudud,3,0,5,5,2,1,1,1,1,2,1,4,1,3,2,1,4,3,4,1,1,2,3,3,3,2,2,3,1,3,3,2,3,2,2,2,2,0,2,3,1,2,3,2,2,2,3,3,1,4,3,2,3,3,3,2,2,3,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,3,0,3,2,0,3,0,4,2,3,3,0,0,,
Noyon gh,4,4,4,3,4,3,0,4,4,2,0,4,0,3,4,0,4,4,4,4,0,4,4,0,3,0,4,3,4,0,4,4,4,4,2,4,3,4,0,4,3,3,3,4,0,4,4,4,2,2,4,4,2,4,0,0,0,3,4,3,1,0,3,3,3,3,3,0,3,3,3,3,3,3,3,4,4,4,3,4,3,4,4,3,3,3,3,3,,
qwsa,2,3,0,3,2,3,1,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Albi,4,4,4,0,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,0,0,0,0,0,5,4,0,4,4,4,4,0,0,0,0,0,0,5,4,4,4,3,4,4,5,0,4,3,0,1,0,5,4,1,0,0,0,5,0,4,0,3,3,3,3,0,1,3,0,3,3,0,0,0,5,0,0,4,0,0,0,1,0,0,0,1,4,,
Borsha,5,4,4,0,4,4,0,3,0,4,4,4,3,4,4,3,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,4,4,3,3,4,0,3,3,0,0,4,5,4,2,3,3,4,3,4,0,0,0,0,0,0,3,0,0,4,3,0,3,4,3,3,3,0,3,3,4,4,4,3,3,3,3,4,4,,
qqwwe,3,4,0,5,4,0,5,4,0,0,0,5,0,4,0,5,0,0,5,4,0,5,4,0,4,0,4,3,4,1,2,1,1,1,1,1,2,2,2,3,2,2,3,3,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,
Nobin,4,5,4,0,4,4,3,4,4,4,3,4,0,0,0,5,0,0,0,4,0,0,4,4,3,3,3,3,3,0,0,0,0,3,0,4,0,3,0,3,3,4,0,4,3,4,0,0,4,0,5,4,0,4,0,4,4,3,4,4,0,4,4,3,0,3,3,4,4,4,4,3,3,3,3,4,0,0,0,0,0,0,0,0,3,0,0,0,,
qrwt,3,1,5,5,3,3,1,3,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,4,0,3,0,4,0,3,1,0,0,2,0,0,2,2,2,2,3,0,0,2,2,2,1,1,1,1,2,2,1,,
Ayon,4,0,4,0,4,0,0,0,0,4,0,3,0,3,4,3,3,4,0,3,4,4,3,0,0,0,3,0,0,0,0,4,0,3,3,3,3,3,3,0,0,0,3,4,3,3,4,4,3,0,4,0,3,4,4,0,0,0,0,5,4,3,4,4,0,0,0,4,3,4,3,4,0,4,0,0,0,0,0,0,0,4,0,3,4,4,4,3,,
qwerty,4,0,4,5,0,0,4,4,2,2,3,5,4,2,1,2,3,0,2,2,2,2,1,2,1,1,2,2,3,1,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2,2,0,0,0,0,1,,
Boni,4,3,4,4,3,0,3,3,0,0,4,4,0,4,0,0,0,4,0,3,0,4,0,4,4,4,0,3,4,0,3,0,4,2,4,1,5,1,4,0,4,0,3,0,4,3,3,2,4,3,0,0,0,0,4,0,4,3,3,4,3,0,0,0,0,0,0,0,0,4,0,4,3,3,4,4,4,4,4,4,0,0,0,0,0,0,4,0,,
ppqwe,3,1,0,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Arnob,4,2,4,4,4,0,0,0,0,1,5,4,0,4,0,4,0,4,4,4,4,4,0,4,4,4,4,3,3,0,0,0,3,4,4,3,0,4,4,4,3,4,0,4,4,4,4,3,4,0,4,4,0,4,3,0,4,4,3,0,3,4,1,0,3,0,4,4,0,4,0,4,4,4,4,4,4,4,0,0,4,4,2,4,0,0,0,0,,
jjjjjghfd,5,5,4,5,4,0,4,4,0,4,0,5,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pushpa,4,4,4,4,4,0,4,3,4,0,5,4,4,3,4,0,4,4,3,4,0,3,5,3,4,0,4,4,4,0,3,4,3,4,4,3,3,3,4,4,4,4,4,0,4,0,4,4,4,4,4,4,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,4,4,4,0,3,4,4,4,0,0,4,4,4,0,4,3,0,4,4,,
yuuuu,3,2,5,5,4,1,1,2,1,3,1,3,1,1,2,2,2,2,2,1,2,1,1,2,4,4,1,4,2,1,2,1,2,1,1,2,1,2,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,
Progga,4,3,3,4,4,0,0,0,0,0,0,4,0,4,4,0,0,4,4,0,0,4,0,4,0,4,0,4,4,4,4,3,4,3,4,4,4,4,4,0,4,4,5,3,0,3,4,4,4,0,4,4,4,0,4,0,0,0,0,4,3,4,4,0,4,3,4,0,0,0,4,4,0,3,3,3,3,4,0,0,0,0,0,0,4,0,0,0,,
Nafi,4,0,4,4,4,4,4,3,3,0,3,0,0,4,0,4,5,4,0,3,0,3,4,4,0,4,4,4,4,4,0,4,4,0,4,4,3,3,0,4,4,4,3,3,4,4,3,0,4,4,0,3,4,0,3,0,0,3,0,4,4,4,0,4,4,0,4,3,4,5,4,4,0,0,4,4,4,0,4,0,0,0,0,0,0,4,0,4,,
kink,2,2,5,4,1,2,2,0,1,5,1,5,1,1,1,3,5,3,1,1,1,0,3,1,0,3,1,3,1,1,2,2,1,2,1,1,1,1,4,3,4,1,1,2,1,1,1,1,1,2,4,3,0,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,0,2,1,2,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,
12naim,4,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Hamaim,4,4,4,4,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,3,3,0,4,2,0,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,,
uytrewqffhgf,3,4,3,0,4,0,4,0,0,0,1,4,0,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,4,0,0,5,4,0,0,0,0,4,0,2,2,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,,
Arafat,4,2,4,2,4,1,0,0,0,0,0,0,0,0,5,0,0,4,0,5,0,0,0,0,0,4,0,0,4,0,1,0,0,5,4,1,1,0,2,0,0,3,1,4,4,0,3,4,4,3,4,0,4,1,0,0,0,0,0,4,4,4,1,4,4,1,4,4,4,1,5,4,3,3,4,4,4,5,3,1,5,5,2,1,0,1,0,0,,
Troyee,4,4,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,4,0,0,0,0,0,5,0,0,0,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,4,0,3,0,3,0,4,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,,
p00eeer,2,3,0,3,0,0,0,0,0,4,0,5,0,0,0,0,4,0,0,0,0,0,0,3,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,5,0,0,5,0,0,4,0,0,4,0,3,1,0,0,0,0,1,1,2,0,3,0,1,1,1,1,0,2,1,0,1,1,1,0,0,0,1,0,0,0,2,,
Tonmoy,4,0,4,0,4,2,2,0,0,0,1,0,0,1,0,3,2,2,3,0,0,3,3,3,1,2,2,2,1,1,1,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,4,0,3,4,0,0,3,0,3,3,0,0,3,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,3,0,0,3,3,0,0,,
Nondini,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,4,4,0,4,0,0,0,0,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,,
bwerrr,3,4,0,3,4,0,4,5,5,5,1,5,0,5,0,5,5,5,5,5,5,4,4,5,4,1,1,1,2,2,5,2,1,1,1,0,0,0,0,5,0,2,5,0,0,4,5,5,5,2,3,0,5,2,0,3,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,4,0,5,0,5,1,1,2,4,0,,
Tomal,5,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,4,0,4,0,3,0,3,0,3,5,4,0,4,0,3,0,0,0,0,3,0,0,0,0,1,4,0,0,4,0,0,0,,
piiyyhnfdgd,4,0,4,5,4,4,2,5,4,3,1,5,5,3,2,3,5,5,4,5,3,4,0,4,4,0,0,4,0,1,5,1,1,1,4,1,4,2,1,5,2,1,5,4,1,1,5,1,2,4,2,1,2,2,1,2,2,2,1,2,1,2,0,0,2,2,1,0,2,1,1,2,0,1,0,0,3,0,3,0,0,0,0,2,0,3,3,4,,
Ghosh Swadhin,2,2,3,3,2,3,3,4,3,2,2,4,3,4,3,3,2,3,2,3,2,3,2,3,3,2,2,3,2,1,3,3,2,2,2,3,2,2,2,2,3,3,2,3,3,2,2,3,2,2,3,3,3,2,2,3,3,2,3,2,3,3,3,3,2,3,3,2,3,3,2,3,4,3,3,3,3,1,3,3,3,1,3,3,3,1,3,3,,
pouyeqxjhhg,4,2,4,5,1,1,3,0,0,5,5,4,0,4,0,5,5,4,0,4,5,5,0,5,4,0,0,5,0,1,5,0,1,0,0,0,0,4,0,3,1,2,0,3,3,2,2,0,0,3,0,0,2,2,1,1,1,1,1,2,0,2,0,3,0,0,1,3,0,2,2,1,3,3,3,0,4,0,4,3,1,5,3,4,4,5,4,1,,
Abir,5,4,4,0,4,0,0,0,0,0,0,3,0,4,0,4,0,0,0,0,0,4,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,3,0,4,4,0,0,0,0,0,0,,
Basit,4,4,4,0,4,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,4,0,0,0,0,3,2,,
Viki,4,4,4,0,3,0,0,0,4,4,0,4,0,3,4,0,4,4,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,3,0,4,4,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,3,4,0,0,4,0,3,0,0,0,0,0,3,0,4,0,0,3,0,,
wesad,0,4,5,4,0,2,0,5,5,5,1,5,5,4,5,5,5,4,5,5,4,4,4,4,4,3,2,0,4,1,4,1,1,2,2,2,1,2,1,5,0,1,4,1,4,4,5,1,5,4,2,5,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,1,3,3,0,0,0,0,0,4,0,0,0,3,0,,
wraut,0,0,0,5,0,0,0,5,4,5,1,5,4,5,4,0,5,4,5,4,5,3,0,3,3,4,1,2,2,1,5,4,1,2,2,4,2,3,1,4,1,1,5,2,3,4,5,0,0,3,4,0,5,0,0,0,0,0,0,0,0,0,0,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,,
bangla,0,4,5,5,3,2,4,5,3,5,2,5,4,3,4,5,5,3,4,5,2,1,2,4,1,3,1,2,4,1,0,0,0,0,0,0,0,0,0,5,4,0,4,4,0,0,5,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,3,0,2,0,4,3,2,2,1,3,,
naim12353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,0,3,0,3,2,1,4,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
uyyhujjk,3,4,2,0,3,0,3,1,0,4,0,5,3,2,4,2,5,5,3,4,4,3,5,4,4,4,1,3,5,1,4,1,1,4,1,2,1,2,3,4,5,5,4,1,4,1,5,0,5,5,2,1,2,1,2,3,1,2,3,0,2,1,2,2,2,3,2,2,3,2,2,1,3,2,2,3,3,3,3,3,3,0,0,0,0,0,0,0,,
kimgkimg,4,4,5,5,5,0,4,4,0,5,5,5,4,5,4,5,5,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,2,2,2,2,2,2,5,1,2,2,5,2,1,4,4,2,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,
78963,0,0,0,0,0,2,4,5,2,5,1,5,2,2,2,2,4,3,5,1,2,0,0,4,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,2,5,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
poujkjj,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,5,1,0,0,1,5,0,1,1,1,0,1,1,1,5,0,0,5,0,0,0,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,3,1,1,2,2,1,3,2,,
nijumbodd,0,0,5,5,4,0,0,2,2,5,0,5,4,4,0,0,5,4,5,3,4,4,0,4,4,5,1,1,4,1,5,0,1,0,0,0,0,2,2,4,0,0,4,0,0,4,5,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,3,4,3,2,0,4,4,5,3,3,0,3,0,0,0,0,0,0,3,0,0,0,3,3,3,1,,
pkingj,0,1,0,5,0,4,5,0,4,5,4,5,5,2,4,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,5,0,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,,
ruyles,2,0,5,5,0,5,4,5,4,5,0,5,5,4,4,5,4,0,5,4,5,0,4,4,4,4,1,1,4,1,4,1,1,1,1,1,1,1,1,4,1,4,2,1,4,2,5,4,3,2,0,1,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
emubosere,0,0,0,5,0,0,0,0,0,0,0,4,5,0,0,0,5,4,5,0,0,0,4,5,5,0,0,0,4,1,4,0,0,4,5,2,0,0,0,5,0,5,4,0,0,0,5,5,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
qqewe,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,5,0,5,0,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
pqewew,5,4,5,5,3,4,4,5,0,5,1,5,0,0,0,0,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
nijumsa,4,3,5,4,3,3,5,4,0,4,2,4,1,3,2,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
"oioivjmn,",4,2,4,5,0,4,3,3,4,4,0,5,4,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,2,2,2,2,0,2,5,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ffgdfgs,0,2,4,5,0,4,3,5,0,5,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,3,0,0,0,0,0,3,2,,
234sdfdsad,4,5,4,5,4,0,4,5,3,5,1,5,1,4,4,5,4,0,5,5,4,5,5,4,4,3,4,2,2,1,5,1,2,2,2,2,3,3,2,5,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,2,0,0,0,3,2,0,3,1,0,0,0,0,2,4,1,1,4,0,0,,
